lat,lon,lst_k
30.0,72.0,317.59
30.0,72.0805,317.56
30.0,72.1611,317.52
30.0,72.2416,317.47
30.0,72.3221,317.41
30.0,72.4027,317.34
30.0,72.4832,317.28
30.0,72.5638,317.24
30.0,72.6443,317.2
30.0,72.7248,317.24
30.0,72.8054,317.27
30.0,72.8859,317.33
30.0,72.9664,317.43
30.0,73.1275,317.75
30.0,73.2081,317.98
30.0,73.2886,318.25
30.0,73.3691,318.56
30.0,73.4497,318.89
30.0,73.5302,319.22
30.0,73.6107,319.52
30.0,73.6913,319.75
30.0,73.7718,319.89
30.0,73.8523,319.92
30.0,73.9329,319.83
30.0,74.0134,319.62
30.0,74.094,319.33
30.0,74.1745,318.96
30.0,74.255,318.57
30.0,74.3356,318.18
30.0,74.4161,317.81
30.0,74.4966,317.49
30.0,74.6577,317.03
30.0,74.7383,316.89
30.0,74.8188,316.79
30.0,74.8993,316.73
30.0,74.9799,316.69
30.0,75.0604,316.65
30.0,75.1409,316.67
30.0,75.2215,316.69
30.0,75.302,316.71
30.0,75.3826,316.74
30.0,75.4631,316.76
30.0,75.5436,316.78
30.0,75.6242,316.8
30.0,75.7047,316.81
30.0,75.7852,316.82
30.0,75.8658,316.83
30.0,75.9463,316.83
30.0,76.0268,316.83
30.0,76.1074,316.82
30.0,76.1879,316.81
30.0,76.2685,316.8
30.0,76.349,316.78
30.0,76.4295,316.75
30.0,76.5101,316.72
30.0,76.5906,316.68
30.0,76.6711,316.64
30.0,76.7517,316.6
30.0,76.8322,316.56
30.0,76.9128,316.53
30.0,76.9933,316.51
30.0,77.0738,316.51
30.0,77.1544,316.52
30.0,77.2349,316.55
30.0,77.3154,316.59
30.0,77.396,316.65
30.0,77.4765,316.71
30.0,77.557,316.78
30.0,77.6376,316.83
30.0,77.7181,316.88
30.0,77.7987,316.91
30.0,77.8792,316.92
30.0,77.9597,316.91
30.0,78.1208,316.84
30.0,78.2013,316.79
30.0,78.2819,316.73
30.0,78.3624,316.69
30.0,78.443,316.65
30.0,78.5235,316.63
30.0,78.604,316.62
30.0,78.6846,316.62
30.0,78.7651,316.64
30.0,78.8456,316.67
30.0,79.0067,316.75
30.0,79.0872,316.79
30.0,79.1678,316.83
30.0,79.2483,316.87
30.0,79.3289,316.9
30.0,79.4094,316.94
30.0,79.4899,316.98
30.0,79.5705,317.02
30.0,79.651,317.05
30.0,79.7315,317.07
30.0,79.8121,317.09
30.0,79.8926,317.08
